id,displayName,appId,applicationType
10c3eb58-8b42-4f9e-9d3d-fa4cfc30599d,IC3 Gateway,39aaf054-81a5-48c7-a4f8-0293012095b9,Microsoft Application
10eb6c6f-24ef-4abe-b3e3-4047fba296c3,Azure Spring Cloud DiagSettings App,b61cc489-e138-4a69-8bf3-c2c5855c8784,Microsoft Application
116e8168-bc58-4b39-8fda-04ae89c46c7b,Azure SQL Database,022907d3-0f1b-48f7-badc-1ba6abab6d66,Microsoft Application
1196e607-7954-4432-889e-0fb1b9eb60af,Common Data Service - Azure Data Lake Storage,546068c3-99b1-4890-8e93-c8aeadcfe56a,Microsoft Application
11be2e8d-b383-42e5-8026-238ae383f33b,Azure Graph,dbcbd02a-d7c4-42fb-8c27-b07e5118b848,Microsoft Application
124a8784-03ac-4936-a0fd-701e7407baae,Microsoft Azure Signup Portal,8e0e8db5-b713-4e91-98e6-470fed0aa4c2,Microsoft Application
12b17bd0-df6f-46e4-9424-7666a18908c1,Machine Learning Services Network Management,aa175e40-6f9c-4aa5-856a-4638955d2366,Microsoft Application
12f3806c-ef22-488a-86d9-56ffa9c9ca6d,PowerApps Service,475226c6-020e-4fb2-8a90-7a972cbfc1d4,Microsoft Application
130e0b0d-67a3-4264-93b9-fa61f61485fd,M365 Lighthouse API,4eaa7769-3cf1-458c-a693-e9827e39cc95,Microsoft Application
137ff647-bf79-4bce-886b-04b65476dbf5,Microsoft Defender for Cloud Pricing Resource Provider,cbff9545-769a-4b41-b76e-fbb069e8727e,Microsoft Application
138d44b0-2216-4087-8bb5-0e6ea0edf899,MileIQ Admin Center,de096ee1-dae7-4ee1-8dd5-d88ccc473815,Microsoft Application
13e8f7bc-03ff-4333-8d2d-9469da401ecf,Azure Data Factory,5d13f7d7-0567-429c-9880-320e9555e5fc,Microsoft Application
14e3535a-6bc1-4417-9313-923d0552d6df,Permission Service O365,6d32b7f8-782e-43e0-ac47-aaad9f4eb839,Microsoft Application
157b1e68-1df9-4dd8-95c3-919b21617b81,Microsoft Defender for Cloud Apps MIP Server,0858ddce-8fca-4479-929b-4504feeed95e,Microsoft Application
15a6a1c3-2eb6-45b6-a138-3077930e30d1,CosmosDB Dedicated Instance,36e2398c-9dd3-4f29-9a72-d9f2cfc47ad9,Microsoft Application
15b671a7-3652-4cc7-b9d6-8466db5ce14a,Azure HDInsight Cluster API,7865c1d2-f040-46cc-875f-831a1ef6a28a,Microsoft Application
